case_index,category,prompt,history,output_tmdb_id,movie_title,recommendation_message,used_llm,intent_enabled,intent_used,intent_override_keys,semantic_enabled,semantic_available,semantic_used,semantic_hit_count,semantic_elapsed_s,retrieval_mode,route,confidence,convergence,runtime_s,history_repeat,error
10,,I want a dark crime movie starring Joaquin Phoenix,"[""Joker""]",648878,Eddington,"I’d point you to ""Eddington"" because it gives your crime request a concrete shape: In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico. For a crime request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,4.307,False,
11,,Suggest a comedy directed by Wes Anderson,"[""The Grand Budapest Hotel""]",1054867,One Battle After Another,"I’d point you to ""One Battle After Another"" because it gives your comedy request a concrete shape: Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. For a comedy request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_8,low,partial,18.05,False,
12,,I want a thriller under 110 minutes,"[""A Quiet Place""]",244786,Whiplash,"I’d point you to ""Whiplash"" because it gives your thriller request a concrete shape: Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity. For a thriller request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,18.05,False,
13,,Recommend a fantasy movie after 2010,"[""The Hobbit: An Unexpected Journey""]",839033,The Lord of the Rings: The War of the Rohirrim,"Step back into Middle-earth to witness the legendary origins of the Mark. This fantasy prequel follows the struggle against the traitorous lord Wulf, offering you a vivid new chapter in a beloved world.",True,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,13.194,False,
14,,I want a war movie directed by Steven Spielberg,"[""Saving Private Ryan""]",530915,1917,"While not directed by Spielberg, this is the most immersive war experience on the list. You will follow two soldiers on a breathless race against time to deliver a message that could save hundreds of lives during World War I.",True,True,False,,False,False,False,0,0.0,lexical,judge_8,low,partial,6.64,False,
15,,Suggest a sci-fi movie starring Tom Cruise,"[""Edge of Tomorrow""]",75612,Oblivion,"Since you're looking for a Tom Cruise sci-fi ride, Oblivion is a stunning choice. You'll love the hauntingly beautiful visuals and the mystery surrounding Jack Harper's mission on a desolate Earth. It's a high-stakes puzzle that keeps you guessing until the end.",True,True,False,,False,False,False,0,0.0,lexical,description_only,high,partial,5.407,False,
16,,I want a romantic comedy after 2015,"[""Crazy Rich Asians""]",466282,To All the Boys I've Loved Before,"I’d point you to ""To All the Boys I've Loved Before"" because it gives your comedy and romance request a concrete shape: Lara Jean's love life goes from imaginary to out of control when her secret letters to every boy she's ever fallen for are mysteriously mailed out. For a comedy and romance request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,True,"genres,release_year",False,False,False,0,0.0,lexical,judge_5,medium,partial,18.049,False,
17,,Recommend a suspense movie under 2 hours,"[""Prisoners""]",520763,A Quiet Place Part II,"Imagine a world where a single sound can trigger a deadly alien attack. You'll be on the edge of your seat as the Abbott family ventures into a post-apocalyptic New York City, fighting for survival in a high-stakes game of silence.",True,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,11.817,False,
18,,I want a documentary released after 2020,"[""The Social Dilemma""]",1022256,Selena Gomez: My Mind & Me,"Step inside the private world of a global superstar as she navigates the complexities of mental health. Since you're looking for a modern documentary released after 2020, this intimate portrait offers a raw and honest look at life in the limelight.",True,True,True,"genres,release_year",False,False,False,0,0.0,lexical,judge_5,medium,partial,10.327,False,
19,,Suggest a superhero movie starring Robert Downey Jr.,"[""Iron Man""]",24428,The Avengers,Experience the epic moment when Earth's mightiest heroes first unite to stop an alien invasion of New York City. You'll see Robert Downey Jr. deliver a powerhouse performance as the genius billionaire leading the charge to save the world.,True,True,True,"genres,keyword_hints,named_people",False,False,False,0,0.0,lexical,judge_8,medium,partial,10.183,False,
20,,I want a psychological thriller under 130 minutes,"[""Black Swan""]",244786,Whiplash,"If you're looking for a psychological thriller, this is the perfect choice; it trades traditional scares for an intense, high-stakes battle of wills. You'll be on the edge of your seat as the tension spirals toward a breathtaking climax, all in a tight, fast-paced runtime.",True,True,False,,False,False,False,0,0.0,lexical,description_only,high,partial,5.04,False,
21,,Recommend a family movie under 2 hours,"[""Paddington""]",49444,Kung Fu Panda 2,"Dive into a world of martial arts mastery where Po faces his past to protect his home. This family-friendly adventure delivers a perfect blend of action and heart, all while keeping your movie night well under the two-hour mark.",True,True,True,"genres,runtime",False,False,False,0,0.0,lexical,judge_5,medium,partial,9.772,False,
22,,I want a crime movie after 2000 starring Al Pacino,"[""Heat""]",398978,The Irishman,"I’d point you to ""The Irishman"" because it gives your crime request a concrete shape: Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man. For a crime request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,description_only,high,partial,18.05,False,
23,,Suggest a horror movie under 100 minutes,"[""Hereditary""]",447332,A Quiet Place,"I’d point you to ""A Quiet Place"" because it gives your horror request a concrete shape: A family is forced to live in silence while hiding from creatures that hunt by sound. For a horror request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,description_only,high,partial,3.74,False,
24,,I want a sci-fi thriller directed by Denis Villeneuve,"[""Arrival""]",693134,Dune: Part Two,"I’d point you to ""Dune: Part Two"" because it gives your science fiction and thriller request a concrete shape: Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. For a science fiction and thriller request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,3.409,False,
25,,Recommend a sports movie after 2010,"[""Moneyball""]",359724,Ford v Ferrari,"I’d point you to ""Ford v Ferrari""; it has a clear car race, sports, and car mechanic pull from the start: American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to. If you are browsing in a drama and action mood, this gives you a clearer reason to press play than most filler picks.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,3.308,False,
26,,I want a historical drama under 150 minutes,"[""The King's Speech""]",490132,Green Book,"I’d point you to ""Green Book"" because it gives your drama request a concrete shape: Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations. For a drama request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,3.377,False,
27,,Suggest an action comedy after 2015,"[""Deadpool""]",746036,The Fall Guy,"I’d point you to ""The Fall Guy"" because it gives your action and comedy request a concrete shape: Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still. For a action and comedy request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,3.479,False,
28,,I want a musical movie starring Hugh Jackman,"[""The Greatest Showman""]",146233,Prisoners,"I’d point you to ""Prisoners""; it has a clear pennsylvania, usa, and kidnapping pull from the start: Keller Dover is facing every parent’s worst nightmare. If you are browsing in a drama and thriller mood, this gives you a clearer reason to press play than most filler picks.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,3.862,False,
29,,Recommend a thriller after 2020,"[""Tenet""]",560016,Monkey Man,"I’d point you to ""Monkey Man"" because it gives your thriller request a concrete shape: Kid is an anonymous young man who ekes out a meager living in an underground fight club where, night after night, wearing a gorilla mask, he is beaten bloody by more popular. For a thriller request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,3.569,False,
30,,I want a romance movie under 2 hours,"[""Before Sunrise""]",372058,Your Name.,"I’d point you to ""Your Name."" because it gives your romance request a concrete shape: High schoolers Mitsuha and Taki are complete strangers living separate lives. For a romance request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,weak,3.55,False,
31,,Suggest a crime drama directed by Martin Scorsese,"[""The Wolf of Wall Street""]",398978,The Irishman,"I’d point you to ""The Irishman"" because it gives your crime and drama request a concrete shape: Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man. For a crime and drama request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,3.467,False,
32,,I want a sci-fi movie under 140 minutes,"[""Blade Runner 2049""]",1184918,The Wild Robot,"I’d point you to ""The Wild Robot"" because it gives your science fiction request a concrete shape: After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. For a science fiction request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,description_only,high,partial,3.894,False,
33,,Recommend a comedy starring Jim Carrey,"[""The Mask""]",454626,Sonic the Hedgehog,"I’d point you to ""Sonic the Hedgehog"" because it gives your comedy request a concrete shape: Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. For a comedy request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,description_only,high,partial,3.071,False,
34,,I want a horror thriller after 2018,"[""Us""]",760104,X,"I’d point you to ""X"" because it gives your horror and thriller request a concrete shape: In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves. For a horror and thriller request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,3.561,False,
35,,Suggest a fantasy movie under 2.5 hours,"[""Harry Potter and the Sorcerer's Stone""]",12445,Harry Potter and the Deathly Hallows: Part 2,"I’d point you to ""Harry Potter and the Deathly Hallows: Part 2"" because it gives your fantasy request a concrete shape: Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. For a fantasy request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,3.4,False,
36,,I want a courtroom drama after 2000,"[""A Few Good Men""]",1325734,The Drama,"I’d point you to ""The Drama"" because it gives your drama request a concrete shape: A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails. For a drama request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,18.048,False,
37,,Recommend an indie film under 110 minutes,"[""Lady Bird""]",244786,Whiplash,"I’d point you to ""Whiplash""; it has a clear new york city, jazz, and musician pull from the start: Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity. If you are browsing in a drama and music mood, this gives you a clearer reason to press play than most filler picks.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,18.048,False,
38,,I want a mystery movie starring Daniel Craig,"[""Knives Out""]",65754,The Girl with the Dragon Tattoo,"I’d point you to ""The Girl with the Dragon Tattoo"" because it gives your mystery request a concrete shape: Disgraced journalist Mikael Blomkvist investigates the disappearance of a weary patriarch's niece from 40 years ago. For a mystery request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,3.431,False,
39,,Suggest a war movie after 2015,"[""1917""]",281338,War for the Planet of the Apes,"I’d point you to ""War for the Planet of the Apes"" because it gives your war request a concrete shape: Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. For a war request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,3.538,False,
40,,I want a romantic drama under 130 minutes,"[""The Notebook""]",372058,Your Name.,"I’d point you to ""Your Name."" because it gives your drama and romance request a concrete shape: High schoolers Mitsuha and Taki are complete strangers living separate lives. For a drama and romance request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,3.38,False,
41,,Recommend a thriller starring Jake Gyllenhaal,"[""Nightcrawler""]",146233,Prisoners,"I’d point you to ""Prisoners"" because it gives your thriller request a concrete shape: Keller Dover is facing every parent’s worst nightmare. For a thriller request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,3.425,False,
42,,I want a documentary under 2 hours,"[""Free Solo""]",1445363,EPiC: Elvis Presley in Concert,"I’d point you to ""EPiC: Elvis Presley in Concert""; it has a clear frantic, admiring, and amused pull from the start: Long-lost footage from Elvis Presley's legendary Las Vegas residency in the 1970s woven together with rare 16mm footage from Elvis on Tour, and 8mm from the Graceland archive. If you are browsing in a music and documentary mood, this gives you a clearer reason to press play than most filler picks.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,18.046,False,
43,,Suggest a comedy movie after 2018,"[""Game Night""]",1195506,Novocaine,"I’d point you to ""Novocaine"" because it gives your comedy request a concrete shape: When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back. For a comedy request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,18.047,False,
44,,I want a sci-fi movie starring Keanu Reeves,"[""The Matrix""]",624860,The Matrix Resurrections,Step back into a world of artificial intelligence and simulated reality. This is the perfect choice for you as it combines the sci-fi genre with Keanu Reeves returning as the iconic Neo.,True,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,13.647,False,
45,,Recommend a thriller under 120 minutes,"[""Get Out""]",64690,Drive,"Step into the neon-lit streets of Los Angeles where a silent stuntman moonlights as a getaway driver. This lean, atmospheric thriller delivers high-tension stakes and a gripping revenge plot that fits perfectly within your time limit.",True,True,True,"genres,runtime",False,False,False,0,0.0,lexical,judge_5,medium,partial,17.799,False,
46,,I want a family movie after 2010,"[""Frozen""]",568124,Encanto,"I’d point you to ""Encanto"" because it gives your family request a concrete shape: The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an. For a family request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_8,low,partial,18.053,False,
47,,Suggest a crime thriller under 2 hours,"[""Se7en""]",64690,Drive,"Since you're looking for a tight crime thriller under two hours, Drive is a perfect pick. It's a stylish, atmospheric ride with a breakout performance by Ryan Gosling as a mysterious getaway driver. You'll love the tension and the neon-soaked aesthetic.",True,True,False,,False,False,False,0,0.0,lexical,description_only,high,partial,11.071,False,
48,,I want a drama movie starring Meryl Streep,"[""The Devil Wears Prada""]",646380,Don't Look Up,"I’d point you to ""Don't Look Up"" because it gives your drama request a concrete shape: Two astronomers go on a media tour to warn humankind of a planet-killing comet hurtling toward Earth. For a drama request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,True,"genres,named_people",False,False,False,0,0.0,lexical,judge_5,medium,partial,18.049,False,
49,,Recommend a mystery thriller after 2012,"[""Shutter Island""]",812583,Wake Up Dead Man: A Knives Out Mystery,"I’d point you to ""Wake Up Dead Man: A Knives Out Mystery"" because it gives your mystery and thriller request a concrete shape: When young priest Jud Duplenticy is sent to assist charismatic firebrand Monsignor Jefferson Wicks, it’s clear that all is not well in the pews. For a mystery and thriller request, I’d rather send you toward something with a distinct angle than something that merely checks the genre box.",False,True,False,,False,False,False,0,0.0,lexical,judge_5,medium,partial,18.047,False,
